"","소재지도로명주소","설치상세위치구분명","설비용량","설치면적","coef"
"75","경기도 시흥시 시화호수전원2길 82-14 (정왕동)","옥상",20,186,9.3
"76","경기도 시흥시 만해로 41, 114동 (정왕동)","옥상",52.56,287,5.46042617960426
"77","경기도 시흥시 만해로 41, 118동 (정왕동)","옥상",49.64,271,5.45930701047542
"78","경기도 시흥시 계수로 213","옥상",22.5,153,6.8
"79","경기도 시흥시 봉우재로131","옥상",20,306,15.3
"80","경기도 시흥시 마유로 92번길27","옥상",99.64,634,6.36290646326776
"81","경기도 시흥시 마유로 92번길27 (A,B동)건물위","옥상",99.64,615,6.1722199919711
"82","경기도 시흥시 시화벤처로315번길13, B-1동","옥상",90,1400,15.5555555555556
"83","경기도 시흥시 시화벤처로315번길13, C동","옥상",99,1235,12.4747474747475
"84","경기도 시흥시 시화벤처로315번길13, B-2동","옥상",90,1400,15.5555555555556
"85","경기도 시흥시 금오로265번길6 , 건물위","옥상",45,288,6.4
"86","경기도 시흥시 동서로 1106","옥상",92.82,1500,16.1603102779573
"87","경기도 시흥시 하중로 226(건물위)","옥상",48,305,6.35416666666667
"88","경기도 시흥시 공단2대로 140번길 36(공장지붕)","옥상",60.48,376,6.21693121693122
"89","경기도 시흥시 엠티브이25로20번길 7(정왕동)","옥상",99.2,620,6.25
"90","경기도 시흥시 군자천로31번길 21(군자동)","옥상",99,640,6.46464646464646
"91","경기도 시흥시 계수로197번길16(계수동)","옥상",37.4,254,6.79144385026738
"92","경기도 시흥시 옥구천서로81번길 68 (정왕동)","옥상",81.6,653,8.00245098039216
"93","경기도 시흥시 수인로 3413번길 6-1 (신천동)","옥상",24.8,150,6.04838709677419
"94","경기도 시흥시 금오로 378-8","옥상",25.6,156,6.09375
"95","경기도 시흥시 금화로 493-31","옥상",14.28,84,5.88235294117647
"96","경기도 시흥시 소망공원로 40 (정왕동)","옥상",45.56,270,5.92625109745391
"97","경기도 시흥시 군자천로185번길 9(정왕동)","옥상",43.52,242,5.56066176470588
"98","경기도 시흥시 동서로1176번길 24 (목감동)","옥상",52.5,993,18.9142857142857
"99","경기도 시흥시 마유로92번길 43 (정왕동)","옥상",81.6,886,10.8578431372549
"100","경기도 시흥시 마유로186번길 112(정왕동)","옥상",99.75,557,5.58395989974937
"101","경기도 시흥시 공단1대로 321번길14","옥상",14.4,198,13.75
"102","경기도 시흥시 공단1대로 321번길14","옥상",98.28,608,6.18640618640619
"103","경기도 시흥시 계수로 203","옥상",30,222,7.4
"104","경기도 성남시 중원구 둔촌대로 494(상대원동)","옥상",45,452.4,10.0533333333333
"105","경기도 성남시 수정구 설개로 93, 나동 건축물 위 (사송동)","옥상",30,189.6,6.32
"106","경기도 성남시 분당구 대왕판교로 187, 금곡동산업전시시설 (금곡동)","옥상",59.95,300.92,5.01951626355296
