"","대분류","중분류","세분류","면적","비고","Univ_SGG1","Univ_SGG2","Univ_Name","AreaFactor","DensityFactor","CapacityFactor","Units","용량(kW)","연간발전량(kWh)"
"161","건물","복합",NA,2351.71957761,NA,"수원시","장안구","성균관대학교",16.47,6.6,0.1305,"ratio",58.6860930958132,67088.7679052717
"162","건물","복합",NA,1419.72561410999,NA,"수원시","장안구","성균관대학교",16.47,6.6,0.1305,"ratio",35.4286073702902,40501.2753735684
"163","건물","평면",NA,2414.16575845999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",88.2999415291275,100942.727157268
"164","건물","복합",NA,2767.07722268999,NA,"수원시","장안구","성균관대학교",16.47,6.6,0.1305,"ratio",69.0511543298547,78937.8986068034
"165","건물","복합",NA,521.018487776,NA,"수원시","장안구","성균관대학교",16.47,6.6,0.1305,"ratio",13.0017795358647,14863.3743298098
"166","건물","평면",NA,3982.32597674999,"가능","수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",145.65658951325,166511.699999757
"167","건물","평면",NA,1916.46442585999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",70.0961382428184,80132.5033164252
"168","건물","복합",NA,1893.83018061,NA,"수원시","장안구","성균관대학교",16.47,6.6,0.1305,"ratio",47.2596713252223,54026.3110655676
"169","건물","평면",NA,1416.70372165999,"가능","수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",51.8170118801093,59236.1716411034
"170","건물","경사",NA,863.436912381999,NA,"수원시","장안구","성균관대학교",33,6.6,0.1305,"ratio",43.1718456191,49353.1904748427
"171","건물","평면",NA,1421.63335153,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",51.997316827173,59442.2926504877
"172","주차장","노외",NA,581.432150804999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",29.0716075402499,33234.0803078629
"173","주차장","노외",NA,392.260430177999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",19.6130215089,22421.2139285442
"174","건물","경사",NA,8104.15702885999,NA,"수원시","장안구","성균관대학교",33,6.6,0.1305,"ratio",405.207851442999,463225.511612608
"175","건물","경사",NA,690.88236639,NA,"수원시","장안구","성균관대학교",33,6.6,0.1305,"ratio",34.5441183195,39490.145180486
"176","건물","경사",NA,622.935191396,NA,"수원시","장안구","성균관대학교",33,6.6,0.1305,"ratio",31.1467595698,35606.352605004
"177","건물","평면",NA,346.207923431999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",12.6628170782552,14475.8792275198
"178","건물","평면",NA,550.944728242999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",20.1512208178576,23036.4726145584
"179","건물","평면",NA,2314.51466741,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",84.6551273807233,96776.0485190953
"180","건물","복합",NA,2929.34186581999,NA,"수원시","장안구","성균관대학교",16.47,6.6,0.1305,"ratio",73.1003947425079,83566.9092617402
"181","건물","평면",NA,2057.91776213999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",75.2699011788778,86047.0456296695
"182","건물","평면",NA,1289.53407132999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",47.1656855786454,53918.8684397958
"183","건물","경사",NA,772.411440517999,NA,"수원시","장안구","성균관대학교",33,6.6,0.1305,"ratio",38.6205720259,44150.2655285683
"184","건물","경사",NA,713.746129265,NA,"수원시","장안구","성균관대학교",33,6.6,0.1305,"ratio",35.68730646325,40797.0150026581
"185","건물","평면",NA,1388.98256416,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",50.8030895436703,58077.075904533
"186","건물","평면",NA,9614.38649900999,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",351.653469827426,402003.213637317
"187","건물","평면",NA,1735.89821716,NA,"수원시","장안구","성균관대학교",24.14,6.6,0.1305,"ratio",63.4917923670339,72582.5471981459
"188","주차장","노외",NA,99.8717675090999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",4.993588375455,5708.57035905264
"189","주차장","노외",NA,104.547472592,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",5.2273736296,5975.82898588613
"190","주차장","노외",NA,585.366226473999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",29.2683113236999,33458.9481390273
"191","주차장","노외",NA,330.595160740999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",16.52975803705,18896.4887927948
"192","주차장","노외",NA,507.773196351,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",25.38865981755,29023.8081302268
"193","주차장","노외",NA,490.152721195,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",24.50763605975,28016.639390785
"194","주차장","노외",NA,109.183167456,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",5.4591583728,6240.80066861751
"195","주차장","노외",NA,171.614793601,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",8.58073968005,9809.32998743956
"196","주차장","노외",NA,405.568779066999,NA,"수원시","장안구","성균관대학교",50,10,0.1305,"ratio",20.27843895335,23181.9058426906
